timestamp,sentence
2023-09-22 17:25:00,Alibaba Group Holding Ltd. ADR outperforms competitors on strong trading day
2023-09-22 16:37:00,"These Stocks Moved the Most Today: Ford, Activision, Alibaba, Squarespace, Amazon, Scholastic, and More"
2023-09-22 10:20:00,Alibaba and other Chinese shares bounce back as China reportedly looks to re-energize its stock market
2023-09-22 06:36:00,"Alibaba, JD.com Stocks Rise on Report of China Easing Ownership Limits"
2023-09-21 17:25:00,Alibaba Group Holding Ltd. ADR underperforms Thursday when compared to competitors
2023-09-21 13:42:00,"China Is in Trouble, but It’s No Disaster. Don’t Run Scared."
2023-09-20 17:25:00,"Alibaba Group Holding Ltd. ADR falls Wednesday, underperforms market"
2023-09-19 17:25:00,Alibaba Group Holding Ltd. ADR outperforms competitors on strong trading day
2023-09-19 07:02:00,U.S. Business Confidence Hits Record Low in China. Days of Outperformance May Be Over.
2023-09-18 17:26:00,"Alibaba Group Holding Ltd. ADR falls Monday, underperforms market"
2023-09-18 14:34:00,SoftBank Could Boost Its Stock With a Big Buyback: Analyst
2023-09-18 05:20:00,Alibaba Plans to Invest $2 Billion in Turkey
2023-09-15 07:20:00,"Alibaba, JD.com Show the Jury Is Still Out on China’s Economy Amid Strong Data"
2023-09-14 16:10:00,Arm Stock Closes 25% Above IPO Price in Public Debut
2023-09-13 13:07:00,"Alibaba to Make Its AI Model Public, But Its Cloud Spinoff Still Seems Far Off"
2023-09-13 09:26:00,Some Chinese Stocks Are a Real Bargain Now. Alibaba Is One of Them.
2023-09-13 01:26:00,Alibaba Introduces Its AI Model to Public
2023-09-12 09:00:00,Alibaba’s New CEO Shares His 2 Big Priorities
2023-09-12 00:31:00,Alibaba Group CEO Sets Core Priorities
2023-09-11 16:27:00,"Dow scores third day of gains ahead of coming inflation, retail-sales data"
2023-09-11 16:20:00,"These Stocks Moved the Most Today: Tesla, Qualcomm, Disney, Hostess Brands, RTX, Meta, and More"
2023-09-11 12:09:00,"Tesla and Canopy Growth stocks surge, RTX and J.M. Smucker shares fall, and other stocks on the move"
2023-09-11 08:52:00,Alibaba Stock Falls After Former CEO Steps Down From Cloud Business
2023-09-10 22:59:00,Alibaba’s ex-chairman Daniel Zhang steps down as CEO of cloud business unit
2023-09-08 07:27:00,Economists See China Still in Deflation. What Knife-Edge Estimates Mean for Alibaba.
2023-09-07 12:50:00,"Nio, Alibaba stocks drop as part of broad selloff in the ADS of China-based companies"
2023-09-07 09:15:00,Alibaba Stock Falls. More Economic Data From China Weighs on Shares.
2023-09-05 11:27:00,"It Isn’t Just Alibaba Stock. Why the Latest Grim China Data Hit LVMH, Too."
2023-09-04 06:17:00,"Alibaba, JD.com Stocks Surge. Why China’s Property Stimulus Is Boosting Tech Giants."
2023-09-04 05:15:00,Global Stocks Climb on China Rebound. There Could Be More Stimulus to Come.
2023-08-31 09:19:00,Alibaba Stock Set to Drop for Second Day. Why It’s Time to Look Past China’s Misery.
2023-08-31 01:30:00,Luxury Stocks Are Going Out of Fashion. It’s the China Syndrome.
2023-08-29 17:04:00,Nvidia Stock Hits a Record High. Watch These 3 Things.
2023-08-29 09:17:00,Alibaba and Other China Stocks Rise Again. Why Long-Term Gains May Be Harder.
2023-08-28 16:14:00,"These Stocks Moved the Most Today: 3M, Jabil, Hawaiian Electric, Boston Scientific, XPeng, Nvidia, and More"
2023-08-28 09:38:00,"Alibaba, JD.com, and Other Chinese Stocks Climb. What Is Behind the Rally."
2023-08-22 10:03:00,"Earnings Beat From Baidu, China’s Google, Cuts Through Economic Gloom"
2023-08-18 05:01:00,Chinese Tech Stocks Tumble as Beijing Defends Yuan Amid Rising Economic Fears
2023-08-17 08:47:00,"Alibaba, JD.com Stocks Rebound. China Sets Out Plan to Hit Growth Targets."
2023-08-17 03:00:00,Chinese Tech Investors Jump Ship. Why That’s a Bad Sign.
2023-08-16 08:44:00,JD.com Posts Earnings Beat. But the Stock Can’t Shake the China Gloom.
2023-08-16 04:58:00,"China Stocks Hit as Selloff, House Prices, and Yuan Add to Economic Pain"
2023-08-15 11:35:00,Alibaba Stock Reveals Doubts That the Biggest China Rate Cuts Since Pandemic Can Save Economy
2023-08-15 08:06:00,"Dan Loeb’s Third Point wagers on Nvidia, Amazon, Uber with new positions"
2023-08-14 17:38:00,China-focused ETFs drop as country’s property woes highlight ‘recession risks in China are real’
2023-08-11 16:17:00,"Dow posts gains Friday, Nasdaq records first back-to-back weekly loss of year"
2023-08-11 11:33:00,"Nio and Alibaba shares sink, weighed down by Country Garden’s financial woes and downbeat China data"
2023-08-11 07:41:00,"Country Garden, Like Evergrande Before It, Flags Huge Loss. The Stock Plummets."
2023-08-10 16:45:00,"These Stocks Moved the Most Today: Disney, Capri, Tapestry, Applovin, Yeti, and More"
2023-08-10 16:24:00,"Dow, S&P 500 and Nasdaq eke out gains, but close below session highs after July’s inflation report"
2023-08-10 07:57:00,Alibaba Stock Jumps as Earnings Smash Estimates. Why the Party Won’t Last.
2023-08-10 07:17:00,Alibaba’s stock advances after earnings beat
2023-08-10 06:51:00,Alibaba's Net Profit Surged in First Quarter on Higher Revenue
2023-08-10 06:15:00,Alibaba posts fiscal Q1 revenue of RMB234.156 billion vs. RMB224.7 billion FactSet consensus
2023-08-10 06:15:00,Alibaba shares up 2.7% premarket after earnings
2023-08-08 12:10:00,China Is Hit With Another Evergrande Moment as Woes Mount for Property Sector
2023-08-08 09:11:00,"Alibaba, Nio among China stocks falling amid downbeat economic data"
2023-08-08 06:37:00,Alibaba Slumps After Grim Chinese Data. The S&P 500 Could Follow.
2023-08-06 14:00:00,"Disney, UPS, BioNTech, Palantir, and More Stocks to Watch This Week"
2023-08-06 01:15:00,8 Funds to Consider if China’s Efforts to Revive Economy Gain Traction
2023-08-02 10:47:00,"Alibaba, Baidu, and NetEase Stocks Fall. What China’s New Smartphone Rules Mean for Tech."
2023-07-31 09:25:00,"Apple, Amazon, Starbucks, Uber, AMD, and More Stocks to Watch This Week"
2023-07-26 04:58:00,Alibaba Cloud to Support Meta AI Model for Chinese Users. Why It’s a Big Deal.
2023-07-25 14:00:00,Worried About China Risk? Apple Stock Might Have Just as Much as Alibaba.
2023-07-25 13:11:00,Chinese Stocks Rally. But There Are Still Big Concerns—Especially in Real Estate.
2023-07-24 14:40:00,"Nio helps lead strong China stock rally amid upbeat economic commentary, while Alibaba shares get a lift"
2023-07-24 08:53:00,This Global Money Pro Wants to Talk About the Saudi-Iran Deal. It’s ‘Mind-Blowing.’
2023-07-24 02:58:00,Alibaba says it won’t sell stake in Ant Group
2023-07-21 06:48:00,"More than 221,000 global tech workers have lost their jobs this year"
2023-07-18 06:16:00,Alibaba Stock Is Falling. Stimulus Hopes Only Go So Far Amid China Growth Fears.
